pub_date	category	title	venue	excerpt	citation	url_slug	paper_url	slides_url
08/12/2024	manuscript	Enhancer heterogeneity in acute lymphoblastic leukemia drives differential gene expression between patients	bioRxiv	This study explores how enhancer variability in ALL patients contributes to divergent gene expression.	"Smith, A.L., Denny, N., Chahrour, C., et al. (2024). ""Enhancer heterogeneity in acute lymphoblastic leukemia drives differential gene expression between patients."" <i>bioRxiv</i>. doi:10.1101/2024.12.08.627394"	enhancer-heterogeneity-leukemia	https://doi.org/10.1101/2024.12.08.627394	
18/09/2024	manuscript	The fetal specific gene LIN28B is essential for human fetal B-lymphopoiesis and initiation of KMT2A::AFF1 infant leukemia	bioRxiv	Shows that LIN28B is critical for fetal B-cell development and initiation of infant leukemia.	"Ling, R., Jackson, T., Elliott, N., Chahrour, C., et al. (2024). ""LIN28B is essential for fetal B-lymphopoiesis and KMT2A::AFF1 leukemia."" <i>bioRxiv</i>. doi:10.1101/2024.09.18.613730"	lin28b-infant-leukemia	https://doi.org/10.1101/2024.09.18.613730	
31/08/2023	manuscript	MLL-AF4 cooperates with PAF1 and FACT to drive high density enhancer interactions in leukemia	Nature Communications	Describes how MLL-AF4 collaborates with co-factors to shape enhancer architecture in leukemia.	"Crump, N.T., Smith, A.L., Chahrour, C., et al. (2023). ""MLL-AF4 cooperates with PAF1 and FACT in leukemia."" <i>Nature Communications</i>. doi:10.1038/s41467-023-40981-9"	mll-af4-enhancer-interactions	https://doi.org/10.1038/s41467-023-40981-9	
15/06/2023	manuscript	Endothelial sensing of AHR ligands regulates intestinal homeostasis	Nature	Demonstrates how endothelial AHR sensing maintains gut homeostasis and barrier function.	"Wiggins, B.G., Wang, Y.F., Chahrour, C., et al. (2023). ""Endothelial sensing of AHR ligands regulates intestinal homeostasis."" <i>Nature</i>. doi:10.1038/s41586-023-06508-4"	ahr-ligands-intestinal-homeostasis	https://doi.org/10.1038/s41586-023-06508-4	
01/05/2021	manuscript	Dysregulation of the Pdx1/Ovol2/Zeb2 axis in dedifferentiated β-cells triggers the induction of genes associated with epithelial-mesenchymal transition in diabetes	Molecular Metabolism	Explores how loss of Pdx1 control in β-cells induces EMT-like gene expression in diabetes.	"de Jesus, D.S., Mak, T.C.S., Chahrour, C., et al. (2021). ""Pdx1/Ovol2/Zeb2 axis induces EMT in diabetes."" <i>Molecular Metabolism</i>. doi:10.1016/j.molmet.2021.101248"	pdx1-emtdiabetes	https://doi.org/10.1016/j.molmet.2021.101248	
01/03/2025	conference	Aberrant enhancer activation in KMT2A::AFF1 leukemia	"Epigenetics in Development and Disease. Banff, AB, Canada"		"Smith, A.L., Lau, I.J., Denny, N., Hamley, J., Chahrour, C., et al. (2025). Aberrant enhancer activation in KMT2A::AFF1 leukemia. Epigenetics in Development and Disease. Banff, AB, Canada"	aberrant-enhancer-activation-kmt2a-aff1	Poster	
01/12/2024	conference	Differential Gene Expression in KMT2A::AFF1 Leukemia Is Driven by Enhancer Heterogeneity	"66th American Society of Hematology Annual Meeting, San Diego, CA, USA"		"Smith, A.L., Denny, N., Chahrour, C., et al. (2024). Differential Gene Expression in KMT2A::AFF1 Leukemia. ASH Annual Meeting. doi:10.1182/blood-2024-208035"	enhancer-heterogeneity-ash-2024	https://doi.org/10.1182/blood-2024-208035	
01/12/2024	conference	The fetal specific gene LIN28B is essential for human fetal B-lymphopoiesis and initiation of KMT2A-AFF1+ infant acute lymphoblastic leukemia	"66th American Society of Hematology Annual Meeting, San Diego, CA, USA"		"Ling, R., Elliott, N., Jackson, T., Chahrour, C., et al. (2024). LIN28B and fetal B-lymphopoiesis in KMT2A-AFF1+ infant ALL. ASH Annual Meeting. doi:10.1182/blood-2024-198819"	lin28b-fetal-leukemia	https://doi.org/10.1182/blood-2024-198819	
01/10/2024	conference	Identifying the DNA binding specificity of chromatin complexes in leukaemia	"Molecular Haemopoiesis, London, UK"		"Chahrour, C., Smith, A.L., Milne, T.A. (2024). DNA binding specificity of chromatin complexes. Molecular Haemopoiesis, London"	dna-binding-chromatin-complexes	Poster	
01/09/2024	conference	Genome-wide screen identifies Runx2 as a novel regulator of haematopoietic stem cell expansion	"International Society for Experimental Hematology, Chicago, IL, USA"		"Meaker, G.A., Khoo, H.M., Hsu, I., Chahrour, C., et al. (2024). Runx2 regulates HSC expansion. ISEH, Chicago"	runx2-hsc-screen	Poster	
01/06/2024	conference	DNA binding specificity of MLL-AF4 in leukemia	"Genome Regulation and Cellular Fates in Homeostasis and Disease, Madrid, Spain"		"Chahrour, C., Smith, A.L., Milne, T.A. (2024). MLL-AF4 DNA binding specificity. GRaCF, Madrid"	mll-af4-binding	Poster	
01/06/2024	conference	MLL-AF4 drives transcriptional heterogeneity in patients by regulating differential enhancer activity	"Genome Regulation and Cellular Fates in Homeostasis and Disease, Madrid, Spain"		"Smith, A.L., Denny, N., Chahrour, C., et al. (2024). MLL-AF4 and enhancer activity. GRaCF, Madrid"	mll-af4-enhancer-activity	Poster	
01/05/2024	conference	CD133 status associates with distinct transcriptional profiles in a bimodal MLL-ENL acute lymphoblastic leukemia cell line	"Molecular vulnerabilities and metabolism in hematological disorders, Borovets, Bulgaria"		"Rajhansa, S., Sharlandjieva, V., Chahrour, C., et al. (2024). CD133 and transcriptional profiles in MLL-ENL. Borovets, Bulgaria"	cd133-mll-enl	Poster	
01/11/2023	conference	Distinct roles for Menin in MLL-AF4 and NPM1c leukaemia	"Molecular Haemopoiesis, London, UK"		"Sharlandjieva, V., Chahrour, C., Lassen, F.H., et al. (2023). Menin in MLL-AF4 and NPM1c leukemia. Molecular Haemopoiesis, London"	menin-mll-npm1c	Poster	
01/05/2022	conference	A high-throughput cell culture model of Idiopathic Pulmonary Fibrosis (IPF) for gene therapy applications	"25th Annual Meeting of the American Society of Gene & Cell Therapy, Washington, DC, USA"		"Cerezuela, M.P., Munis, A.M., Du, Y., Chahrour, C., et al. (2022). High-throughput IPF model for gene therapy. ASGCT, Washington. doi:10.1016/j.ymthe.2022.04.017"	ipf-model-asgct	https://doi:10.1016/j.ymthe.2022.04.017	
